Associated Gene Name	Description	Gene Biotype
ZSCAN22	zinc finger and SCAN domain containing 22	protein_coding
A1BG	alpha-1-B glycoprotein	protein_coding
ZNF497	zinc finger protein 497	protein_coding
ZNF837	zinc finger protein 837	protein_coding
RPS5	ribosomal protein S5	protein_coding
ZNF584	zinc finger protein 584	protein_coding
ZNF132	zinc finger protein 132	protein_coding
ZNF324B	zinc finger protein 324B	protein_coding
ZNF324	zinc finger protein 324	protein_coding
ZNF446	zinc finger protein 446	protein_coding
RP11-576D8.2		antisense
SLC27A5	solute carrier family 27 (fatty acid transporter), member 5	protein_coding
ZBTB45	zinc finger and BTB domain containing 45	protein_coding
TRIM28	tripartite motif containing 28	protein_coding
CHMP2A	charged multivesicular body protein 2A	protein_coding
UBE2M	ubiquitin-conjugating enzyme E2M	protein_coding
MZF1	myeloid zinc finger 1	protein_coding
PLAC2	placenta-specific 2 (non-protein coding)	lincRNA
EMR4P	egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene	pseudogene
C3P1	complement component 3 precursor pseudogene	pseudogene
ZNF833P	zinc finger protein 833, pseudogene	pseudogene
UCA1	urothelial cancer associated 1 (non-protein coding)	non_coding
AC004790.2		ncrna_host
ZNF826P	zinc finger protein 826, pseudogene	pseudogene
RP11-421L10.1		lincRNA
AC008738.1		pseudogene
ZNF175	zinc finger protein 175	protein_coding
SIGLEC5	sialic acid binding Ig-like lectin 5	protein_coding
RP4-794H19.2		lincRNA
SIGLEC14	sialic acid binding Ig-like lectin 14	protein_coding
HAS1	hyaluronan synthase 1	protein_coding
KCNJ12	potassium inwardly-rectifying channel, subfamily J, member 12	protein_coding
PTPLA	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	protein_coding
C17orf51	chromosome 17 open reading frame 51	protein_coding
C17orf51	chromosome 17 open reading frame 51	protein_coding
STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	protein_coding
KCNJ18	potassium inwardly-rectifying channel, subfamily J, member 18	protein_coding
APOBEC3A	probable DNA dC->dU-editing enzyme APOBEC-3A	protein_coding
CIRH1A	cirhin	protein_coding
TMEM236	transmembrane protein 236	protein_coding
GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	protein_coding
MRC1	mannose receptor, C type 1	protein_coding
SNTB2	beta-2-syntrophin	protein_coding
GATA5	GATA binding protein 5	protein_coding
OR13A1	Olfactory receptor 13A1	protein_coding
SLC39A12	solute carrier family 39 (zinc transporter), member 12	protein_coding
ALOX5	arachidonate 5-lipoxygenase isoform 1	protein_coding
C20orf166	chromosome 20 open reading frame 166	protein_coding
MARCH8	E3 ubiquitin-protein ligase MARCH8 isoform 8	protein_coding
TAS2R7	taste receptor, type 2, member 7	protein_coding
TAS2R8	taste receptor, type 2, member 8	protein_coding
TAS2R9	taste receptor, type 2, member 9	protein_coding
PRR4	proline rich 4 (lacrimal)	protein_coding
PRR4	proline rich 4 (lacrimal)	protein_coding
TAS2R10	taste receptor, type 2, member 10	protein_coding
TAS2R13	taste receptor, type 2, member 13	protein_coding
PRH2	proline-rich protein HaeIII subfamily 2	protein_coding
PRH2	proline-rich protein HaeIII subfamily 2	protein_coding
TAS2R14	taste receptor, type 2, member 14	protein_coding
MYOM2	myomesin (M-protein) 2, 165kDa	protein_coding
TAS2R50	taste receptor, type 2, member 50	protein_coding
FAM189B	Protein FAM189B	protein_coding
TAS2R20	taste receptor, type 2, member 20	protein_coding
TAS2R19	taste receptor, type 2, member 19	protein_coding
TAS2R31	taste receptor, type 2, member 31	protein_coding
TAS2R46	taste receptor, type 2, member 46	protein_coding
TAS2R30	taste receptor, type 2, member 30	protein_coding
SPC25	kinetochore protein Spc25	protein_coding
SCAMP3	secretory carrier-associated membrane protein 3 isoform 1	protein_coding
RP11-785H5.1		pseudogene
G6PC2	glucose-6-phosphatase 2 isoform 2	protein_coding
CLK2	dual specificity protein kinase CLK2	protein_coding
ABCB11	bile salt export pump	protein_coding
HCN3	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3	protein_coding
PKLR	pyruvate kinase isozymes R/L isoform 1	protein_coding
BX072566.1	POTE ankyrin domain family member D	protein_coding
BX072566.1	POTE ankyrin domain family member D	protein_coding
DOC2B	double C2-like domains, beta	protein_coding
RPH3AL	rab effector Noc2 isoform 1	protein_coding
ZNF85	zinc finger protein 85 isoform a	protein_coding
IQSEC3	IQ motif and Sec7 domain 3	protein_coding
GCFC1	GC-rich sequence DNA-binding factor 1 isoform 1	protein_coding
ZNF716	zinc finger protein 716	protein_coding
DNAH12	dynein, axonemal, heavy chain 12	protein_coding
KRTAP16-1	putative keratin-associated protein 10-like ENSP00000375147	protein_coding
KRTAP17-1	keratin-associated protein 17-1	protein_coding
KRT33A	keratin, type I cuticular Ha3-I	protein_coding
RP11-598F7.4		antisense
KRT33B	keratin, type I cuticular Ha3-II	protein_coding
C21orf62	uncharacterized protein C21orf62 precursor	protein_coding
TMEM130	transmembrane protein 130	protein_coding
KRT31	keratin, type I cuticular Ha1	protein_coding
ATP6V1G3	V-type proton ATPase subunit G 3 isoform b	protein_coding
KRT37	keratin, type I cuticular Ha7	protein_coding
MRPL45	mitochondrial ribosomal protein L45	protein_coding
PTPRC	receptor-type tyrosine-protein phosphatase C isoform 2 precursor	protein_coding
AC003958.2		antisense
GPR179	G protein-coupled receptor 179	protein_coding
TRRAP	transformation/transcription domain-associated protein	protein_coding
SOCS7	suppressor of cytokine signaling 7	protein_coding
ZNF90	zinc finger protein 90	protein_coding
AC074378.2	YTH domain-containing protein 1 isoform 1	protein_coding
ARHGAP23	Rho GTPase activating protein 23	protein_coding
AC019173.2	Uncharacterized protein	protein_coding
AC226496.1	UDP-glucuronosyltransferase 2B10 isoform 1 precursor	protein_coding
CUX1	cut-like homeobox 1	protein_coding
TUBB8	tubulin, beta 8 class VIII	protein_coding
AC021146.1	UDP-glucuronosyltransferase 2A3 precursor	protein_coding
ZMYND11	zinc finger, MYND-type containing 11	protein_coding
SH2B2	SH2B adaptor protein 2	protein_coding
PRKRIP1	PRKR interacting protein 1 (IL11 inducible)	protein_coding
PRKRIP1	PRKR interacting protein 1 (IL11 inducible)	protein_coding
GAST	gastrin	protein_coding
HAP1	huntingtin-associated protein 1	protein_coding
JUP	junction plakoglobin	protein_coding
C17orf97	chromosome 17 open reading frame 97	protein_coding
LEPREL4	leprecan-like 4	protein_coding
FPR1	formyl peptide receptor 1	protein_coding
SKA1	spindle and kinetochore-associated protein 1	protein_coding
FPR2	formyl peptide receptor 2	protein_coding
FPR3	formyl peptide receptor 3	protein_coding
RP11-470E16.1		lincRNA
FAM101B	family with sequence similarity 101, member B	protein_coding
ZNF577	zinc finger protein 577	protein_coding
CRIM1	cysteine-rich motor neuron 1 protein precursor	protein_coding
AADACL2	arylacetamide deacetylase-like 2 precursor	protein_coding
ZNF649	zinc finger protein 649	protein_coding
QSOX2	quiescin Q6 sulfhydryl oxidase 2	protein_coding
ZNF613	zinc finger protein 613	protein_coding
ZNF479	zinc finger protein 479	protein_coding
AL592170.1	Protein FRG2-like-2	protein_coding
ZNF350	zinc finger protein 350	protein_coding
ZNF615	zinc finger protein 615	protein_coding
ZNF614	zinc finger protein 614	protein_coding
LSM14A	Protein LSM14 homolog A	protein_coding
ZNF432	zinc finger protein 432	protein_coding
ZNF841	zinc finger protein 841	protein_coding
RP13-580B18.1		pseudogene
ZNF616	zinc finger protein 616	protein_coding
BX511012.2	Proline-rich nuclear receptor coactivator 2	protein_coding
ZNF836	zinc finger protein 836	protein_coding
BX511012.1	Serine/arginine-rich splicing factor 10	protein_coding
PPP2R1A	protein phosphatase 2, regulatory subunit A, alpha	protein_coding
FKBP10	FK506 binding protein 10, 65 kDa	protein_coding
MEGF11	multiple epidermal growth factor-like domains protein 11 precursor	protein_coding
RP11-518D3.1		lincRNA
C22orf32	UPF0466 protein C22orf32, mitochondrial precursor	protein_coding
ZNF766	zinc finger protein 766	protein_coding
ZNF480	zinc finger protein 480	protein_coding
OR4C13	olfactory receptor, family 4, subfamily C, member 13	protein_coding
OR4C12	olfactory receptor, family 4, subfamily C, member 12	protein_coding
PIN1P1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1	pseudogene
NDUFA6	NADH dehydrogenase	protein_coding
ZNF610	zinc finger protein 610	protein_coding
DSEL	dermatan-sulfate epimerase-like protein precursor	protein_coding
ZNF880	zinc finger protein 880	protein_coding
SLC25A26	solute carrier family 25, member 26	protein_coding
ZNF528	zinc finger protein 528	protein_coding
NT5C3L	5'-nucleotidase, cytosolic III-like	protein_coding
ZNF534	zinc finger protein 534	protein_coding
ZNF578	zinc finger protein 578	protein_coding
ZNF808	zinc finger protein 808	protein_coding
TCF20	transcription factor 20 isoform 1	protein_coding
ZNF701	zinc finger protein 701	protein_coding
IFNGR2	interferon gamma receptor 2 precursor	protein_coding
ZNF83	zinc finger protein 83	protein_coding
ZNF611	zinc finger protein 611	protein_coding
FGF3	fibroblast growth factor 3	protein_coding
ZNF600	zinc finger protein 600	protein_coding
ZNF28	zinc finger protein 28	protein_coding
SERINC2	serine incorporator 2	protein_coding
RP11-183M13.1		processed_transcript
KLHL10	kelch-like 10 (Drosophila)	protein_coding
ZNF468	zinc finger protein 468	protein_coding
INTS3	integrator complex subunit 3	protein_coding
RP11-439L8.3		pseudogene
TMEM50B	transmembrane protein 50B	protein_coding
KLHL11	kelch-like 11 (Drosophila)	protein_coding
RP11-439L8.4		lincRNA
ACLY	ATP citrate lyase	protein_coding
DNAJC28	dnaJ homolog subfamily C member 28	protein_coding
SLC27A3	long-chain fatty acid transport protein 3	protein_coding
GART	trifunctional purine biosynthetic protein adenosine-3 isoform 1	protein_coding
RP11-14N7.2		lincRNA
KIR3DL3	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3	protein_coding
MCTP1	multiple C2 and transmembrane domain-containing protein 1 isoform L	protein_coding
KIR2DL4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4	protein_coding
XRCC6BP1	mitochondrial inner membrane protease ATP23 homolog	protein_coding
RP11-277L2.2		processed_transcript
AC003070.1	rho GTPase-activating protein 27 isoform a	protein_coding
GPSM1	G-protein signaling modulator 1	protein_coding
KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	protein_coding
KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	protein_coding
RP11-620J15.3		processed_transcript
GATAD2B	transcriptional repressor p66-beta	protein_coding
TTC25	tetratricopeptide repeat domain 25	protein_coding
HIST2H2BD	histone cluster 2, H2bd (pseudogene)	pseudogene
KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	protein_coding
AC217778.1	pleckstrin homology domain-containing family M member 1	protein_coding
KIR2DS4	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4	polymorphic_pseudogene
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	protein_coding
KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	protein_coding
NKIRAS2	NFKB inhibitor interacting Ras-like 2	protein_coding
FCAR	Fc fragment of IgA, receptor for	protein_coding
ZNF385C	zinc finger protein 385C	protein_coding
FRG1	FSHD region gene 1	protein_coding
DHX58	DEXH (Asp-Glu-X-His) box polypeptide 58	protein_coding
AC138688.8	ADP-ribosylation factor-like 17-like isoform a	protein_coding
AC138688.8	ADP-ribosylation factor-like 17-like isoform a	protein_coding
FRG2	FSHD region gene 2	protein_coding
FRG2	FSHD region gene 2	protein_coding
NCR1	natural cytotoxicity triggering receptor 1	protein_coding
KAT2A	K(lysine) acetyltransferase 2A	protein_coding
DUX4L7	double homeobox 4 like 7	protein_coding
DUX4L7	double homeobox 4 like 7	protein_coding
DUX4L7	double homeobox 4 like 7	protein_coding
DUX4L7	double homeobox 4 like 7	protein_coding
DUX4L7	double homeobox 4 like 7	protein_coding
DUX4L7	double homeobox 4 like 7	protein_coding
DUX4L7	double homeobox 4 like 7	protein_coding
NLRP7	NLR family, pyrin domain containing 7	protein_coding
DUX4L6	double homeobox 4 like 6	protein_coding
DUX4L6	double homeobox 4 like 6	protein_coding
DUX4L6	double homeobox 4 like 6	protein_coding
DUX4L6	double homeobox 4 like 6	protein_coding
DUX4L6	double homeobox 4 like 6	protein_coding
DUX4L6	double homeobox 4 like 6	protein_coding
DUX4L6	double homeobox 4 like 6	protein_coding
DUX4L5	double homeobox 4 like 5	protein_coding
DUX4L5	double homeobox 4 like 5	protein_coding
DUX4L5	double homeobox 4 like 5	protein_coding
DUX4L5	double homeobox 4 like 5	protein_coding
DUX4L5	double homeobox 4 like 5	protein_coding
DUX4L5	double homeobox 4 like 5	protein_coding
DUX4L5	double homeobox 4 like 5	protein_coding
DUX4L4	double homeobox 4 like 4	protein_coding
DUX4L3	double homeobox 4 like 3	protein_coding
DUX4L3	double homeobox 4 like 3	protein_coding
DUX4L3	double homeobox 4 like 3	protein_coding
DUX4L3	double homeobox 4 like 3	protein_coding
DUX4L3	double homeobox 4 like 3	protein_coding
DUX4L3	double homeobox 4 like 3	protein_coding
DUX4L3	double homeobox 4 like 3	protein_coding
GBAP1	glucosidase, beta, acid pseudogene 1	pseudogene
DUX4L2	double homeobox 4 like 2	protein_coding
DUX4L2	double homeobox 4 like 2	protein_coding
DUX4L2	double homeobox 4 like 2	protein_coding
DUX4L2	double homeobox 4 like 2	protein_coding
DUX4L2	double homeobox 4 like 2	protein_coding
DUX4L2	double homeobox 4 like 2	protein_coding
DUX4L2	double homeobox 4 like 2	protein_coding
DUX4	double homeobox 4	protein_coding
DUX4	double homeobox 4	protein_coding
DUX4	double homeobox 4	protein_coding
DUX4	double homeobox 4	protein_coding
DUX4	double homeobox 4	protein_coding
DUX4	double homeobox 4	protein_coding
DUX4	double homeobox 4	protein_coding
TBC1D3B	TBC1 domain family, member 3B	protein_coding
NLRP2	NLR family, pyrin domain containing 2	protein_coding
CCL3L3	C-C motif chemokine 3-like 1 precursor	protein_coding
CCL3L3	C-C motif chemokine 3-like 1 precursor	protein_coding
HSPB9	heat shock protein, alpha-crystallin-related, B9	protein_coding
RAB5C	RAB5C, member RAS oncogene family	protein_coding
CCL4L2	chemokine (C-C motif) ligand 4-like 2	protein_coding
CCL4L2	chemokine (C-C motif) ligand 4-like 2	protein_coding
POU5F1P4	POU class 5 homeobox 1 pseudogene 4	pseudogene
GP6	glycoprotein VI (platelet)	protein_coding
MGAM	maltase-glucoamylase (alpha-glucosidase)	protein_coding
AC126327.2	TBC1 domain family member 3G	protein_coding
AC126327.2	TBC1 domain family member 3G	protein_coding
RDH13	retinol dehydrogenase 13 (all-trans/9-cis)	protein_coding
CYCSP52	cytochrome c, somatic pseudogene 52	pseudogene
AC217779.2	microtubule-associated protein tau isoform 5	protein_coding
EPS8L1	EPS8-like 1	protein_coding
OR9A4	olfactory receptor, family 9, subfamily A, member 4	protein_coding
RP11-404O13.1		lincRNA
CLEC5A	C-type lectin domain family 5, member A	protein_coding
PPP1R12C	protein phosphatase 1, regulatory subunit 12C	protein_coding
TAS2R38	taste receptor, type 2, member 38	protein_coding
ZNHIT3	zinc finger, HIT-type containing 3	protein_coding
TNNT1	troponin T type 1 (skeletal, slow)	protein_coding
PRSS58	protease, serine, 58	protein_coding
MYO19	unconventional myosin-XIX isoform 3	protein_coding
CTA-134P22.2		antisense
TNNI3	troponin I type 3 (cardiac)	protein_coding
RP11-48O20.4		lincRNA
AC217770.3	corticotropin-releasing factor receptor 1 isoform 2 precursor	protein_coding
HSPA7	heat shock 70kDa protein 7 (HSP70B)	pseudogene
PIGW	phosphatidylinositol glycan anchor biosynthesis, class W	protein_coding
RPL31P11	ribosomal protein L31 pseudogene 11	pseudogene
SYT5	synaptotagmin V	protein_coding
GGNBP2	gametogenetin binding protein 2	protein_coding
PTPRH	protein tyrosine phosphatase, receptor type, H	protein_coding
ZNF320	zinc finger protein 320	protein_coding
RP11-267N12.3		processed_transcript
DHDH	dihydrodiol dehydrogenase (dimeric)	protein_coding
TMEM86B	transmembrane protein 86B	protein_coding
PPP6R1	protein phosphatase 6, regulatory subunit 1	protein_coding
ZNF816	zinc finger protein 816	protein_coding
ZNF816	zinc finger protein 816	protein_coding
BAX	BCL2-associated X protein	protein_coding
DHRS11	dehydrogenase/reductase (SDR family) member 11	protein_coding
HSPBP1	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1	protein_coding
RP11-206L10.2		lincRNA
RP11-506O24.1		antisense
RP11-280O1.2		antisense
FAM41C	family with sequence similarity 41, member C	lincRNA
BRSK1	BR serine/threonine kinase 1	protein_coding
FTL	ferritin, light polypeptide	protein_coding
RP11-466F5.5		processed_transcript
TMEM150B	transmembrane protein 150B	protein_coding
GYS1	glycogen synthase 1 (muscle)	protein_coding
SUV420H2	suppressor of variegation 4-20 homolog 2 (Drosophila)	protein_coding
FMO9P	flavin containing monooxygenase 9 pseudogene	pseudogene
RP11-465B22.5		lincRNA
COX6B2	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	protein_coding
FAM71E2	family with sequence similarity 71, member E2	protein_coding
IL11	interleukin 11	protein_coding
AC011043.1	uncharacterized protein LOC389831	protein_coding
TMEM190	transmembrane protein 190	protein_coding
RPL28	ribosomal protein L28	protein_coding
BTC	betacellulin	protein_coding
RUVBL2	RuvB-like 2 (E. coli)	protein_coding
LHB	luteinizing hormone beta polypeptide	protein_coding
CGB	chorionic gonadotropin, beta polypeptide	protein_coding
CGB	chorionic gonadotropin, beta polypeptide	protein_coding
CGB	chorionic gonadotropin, beta polypeptide	protein_coding
CGB2	chorionic gonadotropin, beta polypeptide 2	protein_coding
CGB2	chorionic gonadotropin, beta polypeptide 2	protein_coding
RP5-968D22.1		lincRNA
UBE2S	ubiquitin-conjugating enzyme E2S	protein_coding
SHISA7	shisa homolog 7 (Xenopus laevis)	protein_coding
TDO2	Tryptophan 2,3-dioxygenase	protein_coding
CGB1	chorionic gonadotropin, beta polypeptide 1	protein_coding
CGB1	chorionic gonadotropin, beta polypeptide 1	protein_coding
CGB1	chorionic gonadotropin, beta polypeptide 1	protein_coding
CGB1	chorionic gonadotropin, beta polypeptide 1	protein_coding
ISOC2	isochorismatase domain containing 2	protein_coding
RP1-10C16.2		lincRNA
AL603926.1	Zinc finger protein 84	protein_coding
AL603926.3	Zinc finger protein 26	protein_coding
CTSO	Cathepsin O	protein_coding
ZNF628	zinc finger protein 628	protein_coding
PRSS1	protease, serine, 1 (trypsin 1)	protein_coding
IQSEC3	IQ motif and Sec7 domain 3	protein_coding
ATP9B	probable phospholipid-transporting ATPase IIB	protein_coding
PRSS2	protease, serine, 2 (trypsin 2)	protein_coding
RP11-598F7.1		lincRNA
RP11-598F7.1		lincRNA
RP11-598F7.1		lincRNA
RP11-598F7.1		lincRNA
RP11-598F7.1		lincRNA
RP11-598F7.4		antisense
TAS2R7	taste receptor, type 2, member 7	protein_coding
TAS2R8	taste receptor, type 2, member 8	protein_coding
TAS2R9	taste receptor, type 2, member 9	protein_coding
PRR4	proline rich 4 (lacrimal)	protein_coding
PRR4	proline rich 4 (lacrimal)	protein_coding
CGB5	chorionic gonadotropin, beta polypeptide 5	protein_coding
CGB5	chorionic gonadotropin, beta polypeptide 5	protein_coding
CGB5	chorionic gonadotropin, beta polypeptide 5	protein_coding
CGB7	chorionic gonadotropin, beta polypeptide 7	protein_coding
NTF4	neurotrophin 4	protein_coding
KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	protein_coding
SNRNP70	small nuclear ribonucleoprotein 70kDa (U1)	protein_coding
RP3-395M20.8		lincRNA
RP1-163G9.1		processed_transcript
LIN7B	lin-7 homolog B (C. elegans)	protein_coding
TP73-AS1	TP73 antisense RNA 1 (non-protein coding)	lincRNA
RP13-15E13.1		lincRNA
RP13-614K11.1		lincRNA
C19orf73	chromosome 19 open reading frame 73	protein_coding
PPFIA3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	protein_coding
RP5-1166F10.1		lincRNA
HRC	histidine rich calcium binding protein	protein_coding
TRPM4	transient receptor potential cation channel, subfamily M, member 4	protein_coding
SLC6A16	solute carrier family 6, member 16	protein_coding
CD37	CD37 molecule	protein_coding
ENO1-AS1	ENO1 antisense RNA 1 (non-protein coding)	antisense
TEAD2	TEA domain family member 2	protein_coding
DKKL1	dickkopf-like 1	protein_coding
CCDC155	coiled-coil domain containing 155	protein_coding
PTH2	parathyroid hormone 2	protein_coding
