Associated Gene Name	Description	Gene Biotype	NA
KLK7	kallikrein-related peptidase 7	protein_coding	5650
RPS15AP10	ribosomal protein S15a pseudogene 10	pseudogene	728963
KLK8	kallikrein-related peptidase 8	protein_coding	11202
KLK9	kallikrein-related peptidase 9	protein_coding	284366
RP11-8J9.4		antisense	NA
KLK10	kallikrein-related peptidase 10	protein_coding	5655
KLK11	kallikrein-related peptidase 11	protein_coding	11012
KLK12	kallikrein-related peptidase 12	protein_coding	43849
RP11-511I2.5		antisense	NA
KLK13	kallikrein-related peptidase 13	protein_coding	26085
RP5-1024N4.1		pseudogene	NA
KLK14	kallikrein-related peptidase 14	protein_coding	43847
CTU1	cytosolic thiouridylase subunit 1 homolog (S. pombe)	protein_coding	90353
SIGLEC9	sialic acid binding Ig-like lectin 9	protein_coding	27180
SIGLEC7	sialic acid binding Ig-like lectin 7	protein_coding	27036
CD33	CD33 molecule	protein_coding	945
C19orf75	chromosome 19 open reading frame 75	protein_coding	284369
IGLON5	IgLON family member 5	protein_coding	402665
VSIG10L	V-set and immunoglobulin domain containing 10 like	protein_coding	147645
ETFB	electron-transfer-flavoprotein, beta polypeptide	protein_coding	2109
CLDND2	claudin domain containing 2	protein_coding	125875
NKG7	natural killer cell group 7 sequence	protein_coding	4818
LIM2	lens intrinsic membrane protein 2, 19kDa	protein_coding	3982
CTD-2616J11.4	uncharacterized protein LOC147646	protein_coding	NA
SIGLEC10	sialic acid binding Ig-like lectin 10	protein_coding	89790
ZNF154	zinc finger protein 154	protein_coding	7710
ZNF671	zinc finger protein 671	protein_coding	79891
ZNF776	zinc finger protein 776	protein_coding	284309
RP5-1024G6.5		lincRNA	NA
ZNF586	zinc finger protein 586	protein_coding	54807
SIGLEC8	sialic acid binding Ig-like lectin 8	protein_coding	27181
CEACAM18	carcinoembryonic antigen-related cell adhesion molecule 18	protein_coding	729767
SIGLEC12	sialic acid binding Ig-like lectin 12 (gene/pseudogene)	protein_coding	89858
SIGLEC6	sialic acid binding Ig-like lectin 6	protein_coding	946
ZNF552	zinc finger protein 552	protein_coding	79818
RP11-31E23.1		lincRNA	NA
ZNF587	zinc finger protein 587	protein_coding	84914
ZNF814	zinc finger protein 814	protein_coding	730051
ZNF417	zinc finger protein 417	protein_coding	147687
ZNF418	zinc finger protein 418	protein_coding	147686
ZNF256	zinc finger protein 256	protein_coding	10172
C19orf18	chromosome 19 open reading frame 18	protein_coding	147685
ZNF606	zinc finger protein 606	protein_coding	80095
RPS10P7	ribosomal protein S10 pseudogene 7	processed_transcript	376693
ZSCAN1	zinc finger and SCAN domain containing 1	protein_coding	284312
ZNF135	zinc finger protein 135	protein_coding	7694
PTPRVP	protein tyrosine phosphatase, receptor type, V, pseudogene	pseudogene	148713
ZSCAN18	zinc finger and SCAN domain containing 18	protein_coding	65982
ZNF329	zinc finger protein 329	protein_coding	79673
ZNF274	zinc finger protein 274	protein_coding	10782
RP11-480I12.7		processed_transcript	NA
RP11-38O14.5		pseudogene	NA
ZNF544	zinc finger protein 544	protein_coding	27300
ZNF8	zinc finger protein 8	protein_coding	7554
RP11-134P9.1		lincRNA	NA
ZSCAN22	zinc finger and SCAN domain containing 22	protein_coding	342945
A1BG	alpha-1-B glycoprotein	protein_coding	1
ZNF497	zinc finger protein 497	protein_coding	162968
ZNF837	zinc finger protein 837	protein_coding	116412
RPS5	ribosomal protein S5	protein_coding	6193
ZNF584	zinc finger protein 584	protein_coding	201514
ZNF132	zinc finger protein 132	protein_coding	7691
ZNF324B	zinc finger protein 324B	protein_coding	388569
ZNF324	zinc finger protein 324	protein_coding	25799
ZNF446	zinc finger protein 446	protein_coding	55663
RP11-576D8.2		antisense	NA
SLC27A5	solute carrier family 27 (fatty acid transporter), member 5	protein_coding	10998
ZBTB45	zinc finger and BTB domain containing 45	protein_coding	84878
TRIM28	tripartite motif containing 28	protein_coding	10155
CHMP2A	charged multivesicular body protein 2A	protein_coding	27243
UBE2M	ubiquitin-conjugating enzyme E2M	protein_coding	9040
MZF1	myeloid zinc finger 1	protein_coding	7593
PLAC2	placenta-specific 2 (non-protein coding)	lincRNA	257000
EMR4P	egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene	pseudogene	326342
C3P1	complement component 3 precursor pseudogene	pseudogene	388503
ZNF833P	zinc finger protein 833, pseudogene	pseudogene	401898
UCA1	urothelial cancer associated 1 (non-protein coding)	non_coding	652995
AC004790.2		ncrna_host	NA
ZNF826P	zinc finger protein 826, pseudogene	pseudogene	664701
RP11-421L10.1		lincRNA	NA
AC008738.1		pseudogene	NA
ZNF175	zinc finger protein 175	protein_coding	7728
SIGLEC5	sialic acid binding Ig-like lectin 5	protein_coding	8778
RP4-794H19.2		lincRNA	NA
SIGLEC14	sialic acid binding Ig-like lectin 14	protein_coding	100049587
HAS1	hyaluronan synthase 1	protein_coding	3036
KCNJ12	potassium inwardly-rectifying channel, subfamily J, member 12	protein_coding	3768
PTPLA	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	protein_coding	9200
C17orf51	chromosome 17 open reading frame 51	protein_coding	339263
C17orf51	chromosome 17 open reading frame 51	protein_coding	339263
STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	protein_coding	8027
KCNJ18	potassium inwardly-rectifying channel, subfamily J, member 18	protein_coding	100134444
APOBEC3A	probable DNA dC->dU-editing enzyme APOBEC-3A	protein_coding	200315
CIRH1A	cirhin	protein_coding	84916
TMEM236	transmembrane protein 236	protein_coding	653567
GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	protein_coding	50614
MRC1	mannose receptor, C type 1	protein_coding	4360
SNTB2	beta-2-syntrophin	protein_coding	6645
GATA5	GATA binding protein 5	protein_coding	140628
OR13A1	Olfactory receptor 13A1	protein_coding	79290
SLC39A12	solute carrier family 39 (zinc transporter), member 12	protein_coding	221074
ALOX5	arachidonate 5-lipoxygenase isoform 1	protein_coding	240
C20orf166	chromosome 20 open reading frame 166	protein_coding	128826
MARCH8	E3 ubiquitin-protein ligase MARCH8 isoform 8	protein_coding	220972
TAS2R7	taste receptor, type 2, member 7	protein_coding	50837
TAS2R8	taste receptor, type 2, member 8	protein_coding	50836
TAS2R9	taste receptor, type 2, member 9	protein_coding	50835
PRR4	proline rich 4 (lacrimal)	protein_coding	11272
PRR4	proline rich 4 (lacrimal)	protein_coding	11272
TAS2R10	taste receptor, type 2, member 10	protein_coding	50839
TAS2R13	taste receptor, type 2, member 13	protein_coding	50838
PRH2	proline-rich protein HaeIII subfamily 2	protein_coding	5555
PRH2	proline-rich protein HaeIII subfamily 2	protein_coding	5555
TAS2R14	taste receptor, type 2, member 14	protein_coding	50840
MYOM2	myomesin (M-protein) 2, 165kDa	protein_coding	9172
TAS2R50	taste receptor, type 2, member 50	protein_coding	259296
FAM189B	Protein FAM189B	protein_coding	10712
TAS2R20	taste receptor, type 2, member 20	protein_coding	259295
TAS2R19	taste receptor, type 2, member 19	protein_coding	259294
TAS2R31	taste receptor, type 2, member 31	protein_coding	259290
TAS2R46	taste receptor, type 2, member 46	protein_coding	259292
TAS2R30	taste receptor, type 2, member 30	protein_coding	259293
SPC25	kinetochore protein Spc25	protein_coding	57405
SCAMP3	secretory carrier-associated membrane protein 3 isoform 1	protein_coding	10067
RP11-785H5.1		pseudogene	NA
G6PC2	glucose-6-phosphatase 2 isoform 2	protein_coding	57818
CLK2	dual specificity protein kinase CLK2	protein_coding	1196
ABCB11	bile salt export pump	protein_coding	8647
HCN3	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3	protein_coding	57657
PKLR	pyruvate kinase isozymes R/L isoform 1	protein_coding	5313
BX072566.1	POTE ankyrin domain family member D	protein_coding	NA
BX072566.1	POTE ankyrin domain family member D	protein_coding	NA
DOC2B	double C2-like domains, beta	protein_coding	8447
RPH3AL	rab effector Noc2 isoform 1	protein_coding	9501
ZNF85	zinc finger protein 85 isoform a	protein_coding	7639
IQSEC3	IQ motif and Sec7 domain 3	protein_coding	440073
GCFC1	GC-rich sequence DNA-binding factor 1 isoform 1	protein_coding	94104
ZNF716	zinc finger protein 716	protein_coding	441234
DNAH12	dynein, axonemal, heavy chain 12	protein_coding	201625
KRTAP16-1	putative keratin-associated protein 10-like ENSP00000375147	protein_coding	100505753
KRTAP17-1	keratin-associated protein 17-1	protein_coding	83902
KRT33A	keratin, type I cuticular Ha3-I	protein_coding	3883
RP11-598F7.4		antisense	NA
KRT33B	keratin, type I cuticular Ha3-II	protein_coding	3884
C21orf62	uncharacterized protein C21orf62 precursor	protein_coding	56245
TMEM130	transmembrane protein 130	protein_coding	222865
KRT31	keratin, type I cuticular Ha1	protein_coding	3881
ATP6V1G3	V-type proton ATPase subunit G 3 isoform b	protein_coding	127124
KRT37	keratin, type I cuticular Ha7	protein_coding	8688
MRPL45	mitochondrial ribosomal protein L45	protein_coding	84311
PTPRC	receptor-type tyrosine-protein phosphatase C isoform 2 precursor	protein_coding	5788
AC003958.2		antisense	NA
GPR179	G protein-coupled receptor 179	protein_coding	440435
TRRAP	transformation/transcription domain-associated protein	protein_coding	8295
SOCS7	suppressor of cytokine signaling 7	protein_coding	30837
ZNF90	zinc finger protein 90	protein_coding	7643
AC074378.2	YTH domain-containing protein 1 isoform 1	protein_coding	NA
ARHGAP23	Rho GTPase activating protein 23	protein_coding	57636
AC019173.2	Uncharacterized protein	protein_coding	NA
AC226496.1	UDP-glucuronosyltransferase 2B10 isoform 1 precursor	protein_coding	NA
CUX1	cut-like homeobox 1	protein_coding	1523
TUBB8	tubulin, beta 8 class VIII	protein_coding	347688
AC021146.1	UDP-glucuronosyltransferase 2A3 precursor	protein_coding	NA
ZMYND11	zinc finger, MYND-type containing 11	protein_coding	10771
SH2B2	SH2B adaptor protein 2	protein_coding	10603
PRKRIP1	PRKR interacting protein 1 (IL11 inducible)	protein_coding	79706
PRKRIP1	PRKR interacting protein 1 (IL11 inducible)	protein_coding	79706
GAST	gastrin	protein_coding	2520
HAP1	huntingtin-associated protein 1	protein_coding	9001
JUP	junction plakoglobin	protein_coding	3728
C17orf97	chromosome 17 open reading frame 97	protein_coding	400566
LEPREL4	leprecan-like 4	protein_coding	10609
FPR1	formyl peptide receptor 1	protein_coding	2357
SKA1	spindle and kinetochore-associated protein 1	protein_coding	220134
FPR2	formyl peptide receptor 2	protein_coding	2358
FPR3	formyl peptide receptor 3	protein_coding	2359
RP11-470E16.1		lincRNA	NA
FAM101B	family with sequence similarity 101, member B	protein_coding	359845
ZNF577	zinc finger protein 577	protein_coding	84765
CRIM1	cysteine-rich motor neuron 1 protein precursor	protein_coding	51232
AADACL2	arylacetamide deacetylase-like 2 precursor	protein_coding	344752
ZNF649	zinc finger protein 649	protein_coding	65251
QSOX2	quiescin Q6 sulfhydryl oxidase 2	protein_coding	169714
ZNF613	zinc finger protein 613	protein_coding	79898
ZNF479	zinc finger protein 479	protein_coding	90827
AL592170.1	Protein FRG2-like-2	protein_coding	NA
ZNF350	zinc finger protein 350	protein_coding	59348
ZNF615	zinc finger protein 615	protein_coding	284370
ZNF614	zinc finger protein 614	protein_coding	80110
LSM14A	Protein LSM14 homolog A	protein_coding	26065
ZNF432	zinc finger protein 432	protein_coding	9668
ZNF841	zinc finger protein 841	protein_coding	284371
RP13-580B18.1		pseudogene	NA
ZNF616	zinc finger protein 616	protein_coding	90317
BX511012.2	Proline-rich nuclear receptor coactivator 2	protein_coding	NA
ZNF836	zinc finger protein 836	protein_coding	162962
BX511012.1	Serine/arginine-rich splicing factor 10	protein_coding	NA
PPP2R1A	protein phosphatase 2, regulatory subunit A, alpha	protein_coding	5518
FKBP10	FK506 binding protein 10, 65 kDa	protein_coding	60681
MEGF11	multiple epidermal growth factor-like domains protein 11 precursor	protein_coding	84465
RP11-518D3.1		lincRNA	NA
C22orf32	UPF0466 protein C22orf32, mitochondrial precursor	protein_coding	91689
ZNF766	zinc finger protein 766	protein_coding	90321
ZNF480	zinc finger protein 480	protein_coding	147657
OR4C13	olfactory receptor, family 4, subfamily C, member 13	protein_coding	283092
OR4C12	olfactory receptor, family 4, subfamily C, member 12	protein_coding	283093
PIN1P1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1	pseudogene	5301
NDUFA6	NADH dehydrogenase	protein_coding	4700
ZNF610	zinc finger protein 610	protein_coding	162963
DSEL	dermatan-sulfate epimerase-like protein precursor	protein_coding	92126
ZNF880	zinc finger protein 880	protein_coding	400713
SLC25A26	solute carrier family 25, member 26	protein_coding	115286
ZNF528	zinc finger protein 528	protein_coding	84436
NT5C3L	5'-nucleotidase, cytosolic III-like	protein_coding	115024
ZNF534	zinc finger protein 534	protein_coding	147658
ZNF578	zinc finger protein 578	protein_coding	147660
ZNF808	zinc finger protein 808	protein_coding	388558
TCF20	transcription factor 20 isoform 1	protein_coding	6942
ZNF701	zinc finger protein 701	protein_coding	55762
IFNGR2	interferon gamma receptor 2 precursor	protein_coding	3460
ZNF83	zinc finger protein 83	protein_coding	55769
ZNF611	zinc finger protein 611	protein_coding	81856
FGF3	fibroblast growth factor 3	protein_coding	2248
ZNF600	zinc finger protein 600	protein_coding	162966
ZNF28	zinc finger protein 28	protein_coding	7576
SERINC2	serine incorporator 2	protein_coding	347735
RP11-183M13.1		processed_transcript	NA
KLHL10	kelch-like 10 (Drosophila)	protein_coding	317719
ZNF468	zinc finger protein 468	protein_coding	90333
INTS3	integrator complex subunit 3	protein_coding	65123
RP11-439L8.3		pseudogene	NA
TMEM50B	transmembrane protein 50B	protein_coding	757
KLHL11	kelch-like 11 (Drosophila)	protein_coding	55175
RP11-439L8.4		lincRNA	NA
ACLY	ATP citrate lyase	protein_coding	47
DNAJC28	dnaJ homolog subfamily C member 28	protein_coding	54943
SLC27A3	long-chain fatty acid transport protein 3	protein_coding	11000
GART	trifunctional purine biosynthetic protein adenosine-3 isoform 1	protein_coding	2618
RP11-14N7.2		lincRNA	NA
KIR3DL3	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3	protein_coding	100133046
MCTP1	multiple C2 and transmembrane domain-containing protein 1 isoform L	protein_coding	79772
KIR2DL4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4	protein_coding	3805
XRCC6BP1	mitochondrial inner membrane protease ATP23 homolog	protein_coding	91419
RP11-277L2.2		processed_transcript	NA
AC003070.1	rho GTPase-activating protein 27 isoform a	protein_coding	NA
GPSM1	G-protein signaling modulator 1	protein_coding	26086
KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	protein_coding	3804
KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	protein_coding	3804
RP11-620J15.3		processed_transcript	NA
GATAD2B	transcriptional repressor p66-beta	protein_coding	57459
TTC25	tetratricopeptide repeat domain 25	protein_coding	83538
HIST2H2BD	histone cluster 2, H2bd (pseudogene)	pseudogene	337874
KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	protein_coding	3802
AC217778.1	pleckstrin homology domain-containing family M member 1	protein_coding	NA
KIR2DS4	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4	polymorphic_pseudogene	3809
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	protein_coding	1267
KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	protein_coding	3812
NKIRAS2	NFKB inhibitor interacting Ras-like 2	protein_coding	28511
FCAR	Fc fragment of IgA, receptor for	protein_coding	2204
ZNF385C	zinc finger protein 385C	protein_coding	201181
FRG1	FSHD region gene 1	protein_coding	2483
DHX58	DEXH (Asp-Glu-X-His) box polypeptide 58	protein_coding	79132
AC138688.8	ADP-ribosylation factor-like 17-like isoform a	protein_coding	NA
AC138688.8	ADP-ribosylation factor-like 17-like isoform a	protein_coding	NA
FRG2	FSHD region gene 2	protein_coding	448831
FRG2	FSHD region gene 2	protein_coding	448831
NCR1	natural cytotoxicity triggering receptor 1	protein_coding	9437
KAT2A	K(lysine) acetyltransferase 2A	protein_coding	2648
DUX4L7	double homeobox 4 like 7	protein_coding	653543
DUX4L7	double homeobox 4 like 7	protein_coding	653543
DUX4L7	double homeobox 4 like 7	protein_coding	653543
DUX4L7	double homeobox 4 like 7	protein_coding	653543
DUX4L7	double homeobox 4 like 7	protein_coding	653543
DUX4L7	double homeobox 4 like 7	protein_coding	653543
DUX4L7	double homeobox 4 like 7	protein_coding	653543
NLRP7	NLR family, pyrin domain containing 7	protein_coding	199713
DUX4L6	double homeobox 4 like 6	protein_coding	653544
DUX4L6	double homeobox 4 like 6	protein_coding	653544
DUX4L6	double homeobox 4 like 6	protein_coding	653544
DUX4L6	double homeobox 4 like 6	protein_coding	653544
DUX4L6	double homeobox 4 like 6	protein_coding	653544
DUX4L6	double homeobox 4 like 6	protein_coding	653544
DUX4L6	double homeobox 4 like 6	protein_coding	653544
DUX4L5	double homeobox 4 like 5	protein_coding	653545
DUX4L5	double homeobox 4 like 5	protein_coding	653545
DUX4L5	double homeobox 4 like 5	protein_coding	653545
DUX4L5	double homeobox 4 like 5	protein_coding	653545
DUX4L5	double homeobox 4 like 5	protein_coding	653545
DUX4L5	double homeobox 4 like 5	protein_coding	653545
DUX4L5	double homeobox 4 like 5	protein_coding	653545
DUX4L4	double homeobox 4 like 4	protein_coding	441056
DUX4L3	double homeobox 4 like 3	protein_coding	653548
DUX4L3	double homeobox 4 like 3	protein_coding	653548
DUX4L3	double homeobox 4 like 3	protein_coding	653548
DUX4L3	double homeobox 4 like 3	protein_coding	653548
DUX4L3	double homeobox 4 like 3	protein_coding	653548
DUX4L3	double homeobox 4 like 3	protein_coding	653548
DUX4L3	double homeobox 4 like 3	protein_coding	653548
GBAP1	glucosidase, beta, acid pseudogene 1	pseudogene	2630
DUX4L2	double homeobox 4 like 2	protein_coding	728410
DUX4L2	double homeobox 4 like 2	protein_coding	728410
DUX4L2	double homeobox 4 like 2	protein_coding	728410
DUX4L2	double homeobox 4 like 2	protein_coding	728410
DUX4L2	double homeobox 4 like 2	protein_coding	728410
DUX4L2	double homeobox 4 like 2	protein_coding	728410
DUX4L2	double homeobox 4 like 2	protein_coding	728410
DUX4	double homeobox 4	protein_coding	100288687
DUX4	double homeobox 4	protein_coding	100288687
DUX4	double homeobox 4	protein_coding	100288687
DUX4	double homeobox 4	protein_coding	100288687
DUX4	double homeobox 4	protein_coding	100288687
DUX4	double homeobox 4	protein_coding	100288687
DUX4	double homeobox 4	protein_coding	100288687
TBC1D3B	TBC1 domain family, member 3B	protein_coding	414059
NLRP2	NLR family, pyrin domain containing 2	protein_coding	55655
CCL3L3	C-C motif chemokine 3-like 1 precursor	protein_coding	414062
CCL3L3	C-C motif chemokine 3-like 1 precursor	protein_coding	414062
HSPB9	heat shock protein, alpha-crystallin-related, B9	protein_coding	94086
RAB5C	RAB5C, member RAS oncogene family	protein_coding	5878
CCL4L2	chemokine (C-C motif) ligand 4-like 2	protein_coding	388372
CCL4L2	chemokine (C-C motif) ligand 4-like 2	protein_coding	388372
POU5F1P4	POU class 5 homeobox 1 pseudogene 4	pseudogene	645682
GP6	glycoprotein VI (platelet)	protein_coding	51206
MGAM	maltase-glucoamylase (alpha-glucosidase)	protein_coding	8972
AC126327.2	TBC1 domain family member 3G	protein_coding	NA
AC126327.2	TBC1 domain family member 3G	protein_coding	NA
RDH13	retinol dehydrogenase 13 (all-trans/9-cis)	protein_coding	112724
CYCSP52	cytochrome c, somatic pseudogene 52	pseudogene	360155
AC217779.2	microtubule-associated protein tau isoform 5	protein_coding	NA
EPS8L1	EPS8-like 1	protein_coding	54869
OR9A4	olfactory receptor, family 9, subfamily A, member 4	protein_coding	130075
RP11-404O13.1		lincRNA	NA
CLEC5A	C-type lectin domain family 5, member A	protein_coding	23601
PPP1R12C	protein phosphatase 1, regulatory subunit 12C	protein_coding	54776
TAS2R38	taste receptor, type 2, member 38	protein_coding	5726
ZNHIT3	zinc finger, HIT-type containing 3	protein_coding	9326
TNNT1	troponin T type 1 (skeletal, slow)	protein_coding	7138
PRSS58	protease, serine, 58	protein_coding	136541
MYO19	unconventional myosin-XIX isoform 3	protein_coding	80179
CTA-134P22.2		antisense	NA
TNNI3	troponin I type 3 (cardiac)	protein_coding	7137
RP11-48O20.4		lincRNA	NA
AC217770.3	corticotropin-releasing factor receptor 1 isoform 2 precursor	protein_coding	NA
HSPA7	heat shock 70kDa protein 7 (HSP70B)	pseudogene	3311
PIGW	phosphatidylinositol glycan anchor biosynthesis, class W	protein_coding	284098
RPL31P11	ribosomal protein L31 pseudogene 11	pseudogene	641311
SYT5	synaptotagmin V	protein_coding	6861
GGNBP2	gametogenetin binding protein 2	protein_coding	79893
PTPRH	protein tyrosine phosphatase, receptor type, H	protein_coding	5794
ZNF320	zinc finger protein 320	protein_coding	162967
RP11-267N12.3		processed_transcript	NA
DHDH	dihydrodiol dehydrogenase (dimeric)	protein_coding	27294
TMEM86B	transmembrane protein 86B	protein_coding	255043
PPP6R1	protein phosphatase 6, regulatory subunit 1	protein_coding	22870
ZNF816	zinc finger protein 816	protein_coding	125893
ZNF816	zinc finger protein 816	protein_coding	125893
BAX	BCL2-associated X protein	protein_coding	581
DHRS11	dehydrogenase/reductase (SDR family) member 11	protein_coding	79154
HSPBP1	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1	protein_coding	23640
RP11-206L10.2		lincRNA	NA
RP11-506O24.1		antisense	NA
RP11-280O1.2		antisense	NA
FAM41C	family with sequence similarity 41, member C	lincRNA	284593
BRSK1	BR serine/threonine kinase 1	protein_coding	84446
FTL	ferritin, light polypeptide	protein_coding	2512
RP11-466F5.5		processed_transcript	NA
TMEM150B	transmembrane protein 150B	protein_coding	284417
GYS1	glycogen synthase 1 (muscle)	protein_coding	2997
SUV420H2	suppressor of variegation 4-20 homolog 2 (Drosophila)	protein_coding	84787
FMO9P	flavin containing monooxygenase 9 pseudogene	pseudogene	116123
RP11-465B22.5		lincRNA	NA
COX6B2	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	protein_coding	125965
FAM71E2	family with sequence similarity 71, member E2	protein_coding	284418
IL11	interleukin 11	protein_coding	3589
AC011043.1	uncharacterized protein LOC389831	protein_coding	NA
TMEM190	transmembrane protein 190	protein_coding	147744
RPL28	ribosomal protein L28	protein_coding	6158
BTC	betacellulin	protein_coding	685
RUVBL2	RuvB-like 2 (E. coli)	protein_coding	10856
LHB	luteinizing hormone beta polypeptide	protein_coding	3972
CGB	chorionic gonadotropin, beta polypeptide	protein_coding	1082
CGB	chorionic gonadotropin, beta polypeptide	protein_coding	1082
CGB	chorionic gonadotropin, beta polypeptide	protein_coding	1082
CGB2	chorionic gonadotropin, beta polypeptide 2	protein_coding	114336
